event_ticker,series_ticker,title,sub_title,status,event_date,away_team,home_team
KXNBAGAME-25NOV03MINBKN,KXNBAGAME,Minnesota vs Brooklyn,MIN at BKN (Nov 3),,2025-11-03,MIN,BKN
KXNBAGAME-25NOV03MILIND,KXNBAGAME,Milwaukee vs Indiana,MIL at IND (Nov 3),,2025-11-03,MIL,IND
KXNBAGAME-25NOV02MIALAL,KXNBAGAME,Miami vs Los Angeles,MIA at LAL (Nov 2),,2025-11-02,MIA,LAL
KXNBAGAME-25NOV02SASPHX,KXNBAGAME,San Antonio vs Phoenix,SAS at PHX (Nov 2),,2025-11-02,SAS,PHX
KXNBAGAME-25NOV02CHINYK,KXNBAGAME,Chicago vs New York K,CHI at NYK (Nov 2),,2025-11-02,CHI,NYK
KXNBAGAME-25NOV02UTACHA,KXNBAGAME,Utah vs Charlotte,UTA at CHA (Nov 2),,2025-11-02,UTA,CHA
KXNBAGAME-25NOV02PHIBKN,KXNBAGAME,Philadelphia vs Brooklyn,PHI at BKN (Nov 2),,2025-11-02,PHI,BKN
KXNBAGAME-25NOV02MEMTOR,KXNBAGAME,Memphis vs Toronto,MEM at TOR (Nov 2),,2025-11-02,MEM,TOR
KXNBAGAME-25NOV02ATLCLE,KXNBAGAME,Atlanta vs Cleveland,ATL at CLE (Nov 2),,2025-11-02,ATL,CLE
KXNBAGAME-25NOV02NOPOKC,KXNBAGAME,New Orleans vs Oklahoma City,NOP at OKC (Nov 2),,2025-11-02,NOP,OKC
KXNBAGAME-25NOV01DALDET,KXNBAGAME,Dallas vs Detroit,DAL at DET (Nov 1),,2025-11-01,DAL,DET
KXNBAGAME-25NOV01HOUBOS,KXNBAGAME,Houston vs Boston,HOU at BOS (Nov 1),,2025-11-01,HOU,BOS
KXNBAGAME-25NOV01ORLWAS,KXNBAGAME,Orlando vs Washington,ORL at WAS (Nov 1),,2025-11-01,ORL,WAS
KXNBAGAME-25NOV01GSWIND,KXNBAGAME,Golden State vs Indiana,GSW at IND (Nov 1),,2025-11-01,GSW,IND
KXNBAGAME-25NOV01MINCHA,KXNBAGAME,Minnesota vs Charlotte,MIN at CHA (Nov 1),,2025-11-01,MIN,CHA
KXNBAGAME-25NOV01SACMIL,KXNBAGAME,Sacramento vs Milwaukee,SAC at MIL (Nov 1),,2025-11-01,SAC,MIL
KXNBAGAME-25OCT31NOPLAC,KXNBAGAME,New Orleans vs Los Angeles C,NOP at LAC (Oct 31),,2025-10-31,NOP,LAC
KXNBAGAME-25OCT31UTAPHX,KXNBAGAME,Utah vs Phoenix,UTA at PHX (Oct 31),,2025-10-31,UTA,PHX
